,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
1,Tom,Aaron,,--,155 lbs.,--,,5,3,0,
2,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,
3,Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,
4,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,
5,Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6,0,0,
6,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,7,0,
7,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,
8,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,
9,Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,
10,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,
11,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,
12,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,
13,John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,
14,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,
15,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,
16,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,
17,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,
18,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,23,1,0,
19,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,
20,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,
21,Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,
22,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,
23,Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,
24,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,
25,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,
26,Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,
27,Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,8,1,0,
28,Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,
29,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,
30,Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,
31,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,
32,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,
33,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,
34,Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,
35,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,
36,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,
37,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,
38,Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,
39,,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,16,8,2,
40,Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,15,1,0,
41,Brett,Albee,,--,225 lbs.,--,,3,2,0,
42,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,
43,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,
44,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,
45,Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,
46,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,
47,Juan,Alcain,,--,--,--,,1,2,0,
48,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,
49,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,
50,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,
51,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,
52,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,14,6,0,
53,Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,
54,Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,
55,Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,8,0,
56,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,11,5,0,
57,Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,--,,4,1,0,
58,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,
59,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,
60,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,
61,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,
62,Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,7,3,0,
63,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,
64,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,
65,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,
66,Levi,Alford,,--,--,--,,1,7,0,
67,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,16,7,0,
68,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,
69,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,
70,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,
71,Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,7,0,0,
